# Sorted by L2 distance (descending).  '4+4' vs '4+9'
# layer = -1 means a final / post-transformer tensor.
layer  tensor                                         L2       cos
   -1  logits_last                              229.5099    0.9884
   35  hidden_out_last                           61.8002    0.9811
   -1  h_final_prenorm_last                      61.8002    0.9811
   34  hidden_out_last                           55.0282    0.9954
   35  hidden_in_last                            55.0282    0.9954
   33  hidden_out_last                           48.6763    0.9938
   34  hidden_in_last                            48.6763    0.9938
   32  hidden_out_last                           45.6903    0.9918
   33  hidden_in_last                            45.6903    0.9918
   31  hidden_out_last                           42.2137    0.9902
   32  hidden_in_last                            42.2137    0.9902
   30  hidden_out_last                           39.4945    0.9888
   31  hidden_in_last                            39.4945    0.9888
   33  q_pre_qknorm_last                         38.8814    0.9972
   29  hidden_out_last                           35.3424    0.9869
   30  hidden_in_last                            35.3424    0.9869
   34  q_pre_qknorm_last                         33.5221    0.9973
   28  hidden_out_last                           32.4352    0.9860
   29  hidden_in_last                            32.4352    0.9860
   35  mlp_out_last                              31.9722    0.9994
   32  q_pre_qknorm_last                         29.9031    0.9973
   27  hidden_out_last                           28.8693    0.9858
   28  hidden_in_last                            28.8693    0.9858
   31  q_pre_qknorm_last                         27.1310    0.9971
   -1  h_final_postnorm_last                     27.0133    0.9867
   35  q_pre_qknorm_last                         26.7506    0.9975
   26  hidden_out_last                           26.5973    0.9857
   27  hidden_in_last                            26.5973    0.9857
   30  q_pre_qknorm_last                         25.8409    0.9966
   33  h_after_input_ln_last                     25.0113    0.9911
   29  q_pre_qknorm_last                         24.4023    0.9963
   25  hidden_out_last                           23.8613    0.9856
   26  hidden_in_last                            23.8613    0.9856
   34  h_after_input_ln_last                     23.5334    0.9931
   24  hidden_out_last                           21.1521    0.9856
   25  hidden_in_last                            21.1521    0.9856
   32  h_after_input_ln_last                     20.9803    0.9910
   33  v_last                                    19.8891    0.9816
   34  mlp_out_last                              19.6610    0.9927
   35  h_after_input_ln_last                     19.3676    0.9914
   34  v_last                                    18.5198    0.9862
   30  h_after_input_ln_last                     18.4928    0.9868
   31  h_after_input_ln_last                     18.4696    0.9899
   23  hidden_out_last                           18.1077    0.9847
   24  hidden_in_last                            18.1077    0.9847
   26  q_pre_qknorm_last                         17.1842    0.9951
   27  q_pre_qknorm_last                         17.1171    0.9955
   35  v_last                                    16.3666    0.9872
   28  q_pre_qknorm_last                         16.1842    0.9963
   32  v_last                                    16.0203    0.9809
   29  h_after_input_ln_last                     15.4480    0.9869
   34  k_pre_qknorm_last                         15.3626    0.9967
   33  mlp_out_last                              14.8661    0.9901
   24  q_pre_qknorm_last                         14.7649    0.9963
   30  mlp_out_last                              14.6158    0.9737
   31  v_last                                    14.4474    0.9731
   22  hidden_out_last                           14.3780    0.9842
   23  hidden_in_last                            14.3780    0.9842
   28  mlp_out_last                              13.9370    0.9553
   35  attn_out_post_oproj_last                  13.7832    0.9955
   30  v_last                                    13.6990    0.9793
   32  mlp_out_last                              13.6700    0.9817
   23  q_pre_qknorm_last                         13.3321    0.9959
   33  k_pre_qknorm_last                         13.1721    0.9964
   25  q_pre_qknorm_last                         13.1574    0.9957
   35  k_pre_qknorm_last                         12.8963    0.9969
   32  k_pre_qknorm_last                         12.6891    0.9973
   30  k_pre_qknorm_last                         12.3377    0.9955
   31  mlp_out_last                              12.3323    0.9765
   29  mlp_out_last                              12.1060    0.9708
   35  attn_out_pre_oproj_last                   12.0952    0.9886
   22  q_pre_qknorm_last                         12.0845    0.9963
   27  h_after_input_ln_last                     12.0317    0.9874
   21  hidden_out_last                           11.7851    0.9872
   22  hidden_in_last                            11.7851    0.9872
   31  k_pre_qknorm_last                         11.7532    0.9957
   28  h_after_input_ln_last                     11.6374    0.9899
   25  mlp_out_last                              11.5259    0.9624
   27  mlp_out_last                              11.4570    0.9592
   34  attn_out_post_oproj_last                  11.3250    0.9881
   24  mlp_out_last                              11.3066    0.9595
   26  h_after_input_ln_last                     10.8742    0.9859
   26  q_post_rope_last                          10.8554    0.9905
   26  q_post_qknorm_last                        10.8534    0.9906
   23  mlp_out_last                              10.8042    0.9632
   26  mlp_out_last                              10.7507    0.9627
   25  q_post_rope_last                          10.6277    0.9924
   25  q_post_qknorm_last                        10.6257    0.9924
   34  attn_out_pre_oproj_last                   10.3161    0.9821
   29  v_last                                    10.2958    0.9750
   23  q_post_rope_last                          10.1214    0.9895
   23  q_post_qknorm_last                        10.1210    0.9895
   23  attn_logits_last                          10.0937    0.9988
   27  q_post_qknorm_last                        10.0761    0.9930
   27  q_post_rope_last                          10.0745    0.9930
   30  q_post_rope_last                           9.9422    0.9959
   30  q_post_qknorm_last                         9.9411    0.9959
   28  q_post_rope_last                           9.8403    0.9957
   28  q_post_qknorm_last                         9.8362    0.9957
   24  h_after_input_ln_last                      9.6360    0.9880
   24  q_post_rope_last                           9.6322    0.9881
   24  q_post_qknorm_last                         9.6311    0.9881
   22  q_post_rope_last                           9.5674    0.9909
   22  q_post_qknorm_last                         9.5667    0.9909
   30  h_after_post_attn_ln_last                  9.5360    0.9764
   29  h_after_post_attn_ln_last                  9.4676    0.9755
    7  attn_logits_last                           9.4365    0.9986
   35  h_after_post_attn_ln_last                  9.4084    0.9951
   29  k_pre_qknorm_last                          9.2067    0.9947
   31  h_after_post_attn_ln_last                  9.1015    0.9785
   35  q_post_rope_last                           9.0005    0.9966
   35  q_post_qknorm_last                         8.9972    0.9966
   28  h_after_post_attn_ln_last                  8.9682    0.9759
   25  h_after_input_ln_last                      8.9169    0.9880
   22  mlp_out_last                               8.8719    0.9602
   21  q_post_rope_last                           8.8116    0.9937
   21  q_post_qknorm_last                         8.8095    0.9937
   21  q_pre_qknorm_last                          8.7245    0.9967
   32  h_after_post_attn_ln_last                  8.6886    0.9817
   27  v_last                                     8.6674    0.9742
   31  attn_logits_last                           8.5482    0.9988
   31  q_post_rope_last                           8.5086    0.9928
   31  q_post_qknorm_last                         8.5059    0.9928
   29  q_post_rope_last                           8.4764    0.9911
   29  q_post_qknorm_last                         8.4745    0.9911
   34  q_post_rope_last                           8.4693    0.9964
   34  q_post_qknorm_last                         8.4692    0.9964
   33  h_after_post_attn_ln_last                  8.4406    0.9847
   27  h_after_post_attn_ln_last                  8.4206    0.9765
   23  h_after_input_ln_last                      8.3664    0.9879
   32  q_post_rope_last                           8.3473    0.9956
   32  q_post_qknorm_last                         8.3470    0.9956
   33  attn_logits_last                           8.1870    0.9988
   26  h_after_post_attn_ln_last                  8.1727    0.9753
   28  v_last                                     8.1714    0.9765
   34  h_after_post_attn_ln_last                  8.1699    0.9900
   22  h_after_input_ln_last                      8.1609    0.9893
   13  attn_logits_last                           8.1310    0.9982
   20  hidden_out_last                            8.1159    0.9912
   21  hidden_in_last                             8.1159    0.9912
   26  attn_logits_last                           8.0853    0.9985
   11  attn_logits_last                           7.8527    0.9977
   26  v_last                                     7.7035    0.9674
   21  attn_logits_last                           7.6790    0.9992
   24  attn_logits_last                           7.6704    0.9990
   25  h_after_post_attn_ln_last                  7.4649    0.9758
   21  mlp_out_last                               7.3404    0.9658
   27  k_pre_qknorm_last                          7.3075    0.9945
   28  k_pre_qknorm_last                          7.2804    0.9956
   24  h_after_post_attn_ln_last                  7.2671    0.9750
   23  h_after_post_attn_ln_last                  7.2588    0.9718
   28  attn_out_post_oproj_last                   7.2341    0.9566
   33  q_post_rope_last                           7.1753    0.9935
   33  q_post_qknorm_last                         7.1732    0.9935
   23  attn_out_pre_oproj_last                    7.1723    0.9588
   26  k_pre_qknorm_last                          7.1515    0.9928
    9  attn_logits_last                           7.0978    0.9987
   24  k_post_rope_last                           7.0035    0.9932
   24  k_post_qknorm_last                         7.0035    0.9932
   27  attn_logits_last                           6.9738    0.9988
   29  attn_logits_last                           6.8210    0.9991
   28  attn_logits_last                           6.8091    0.9989
   23  k_post_qknorm_last                         6.7905    0.9958
   23  k_post_rope_last                           6.7904    0.9958
   26  k_post_qknorm_last                         6.7557    0.9929
   26  k_post_rope_last                           6.7557    0.9929
   20  q_post_rope_last                           6.6601    0.9942
   20  q_post_qknorm_last                         6.6599    0.9942
   28  attn_out_pre_oproj_last                    6.6425    0.9663
   23  attn_out_post_oproj_last                   6.6103    0.9497
   25  attn_logits_last                           6.6070    0.9990
   25  k_post_rope_last                           6.5887    0.9955
   25  k_post_qknorm_last                         6.5860    0.9955
   22  h_after_post_attn_ln_last                  6.5127    0.9739
   21  k_post_qknorm_last                         6.4810    0.9945
   21  k_post_rope_last                           6.4804    0.9945
   19  hidden_out_last                            6.4015    0.9940
   20  hidden_in_last                             6.4015    0.9940
   29  k_post_qknorm_last                         6.3980    0.9940
   29  k_post_rope_last                           6.3976    0.9940
   30  attn_logits_last                           6.2747    0.9994
   23  v_last                                     6.2701    0.9670
   25  v_last                                     6.2167    0.9789
   22  k_post_qknorm_last                         6.1962    0.9959
   22  k_post_rope_last                           6.1932    0.9959
   27  k_post_qknorm_last                         6.1381    0.9945
   27  k_post_rope_last                           6.1375    0.9945
   22  attn_logits_last                           6.0830    0.9992
   21  h_after_post_attn_ln_last                  6.0531    0.9748
   34  attn_logits_last                           6.0475    0.9994
   15  attn_logits_last                           6.0272    0.9993
   30  attn_out_post_oproj_last                   5.9803    0.9774
   25  k_pre_qknorm_last                          5.9555    0.9945
   10  attn_logits_last                           5.9047    0.9974
   20  q_pre_qknorm_last                          5.8894    0.9982
   20  attn_logits_last                           5.8475    0.9994
   30  attn_out_pre_oproj_last                    5.8277    0.9770
   14  attn_logits_last                           5.8106    0.9987
   17  attn_logits_last                           5.7847    0.9994
   19  q_post_qknorm_last                         5.7662    0.9965
   19  q_post_rope_last                           5.7649    0.9965
   33  attn_out_post_oproj_last                   5.7580    0.9913
   24  k_pre_qknorm_last                          5.7442    0.9939
   32  attn_logits_last                           5.6251    0.9994
   28  k_post_qknorm_last                         5.6112    0.9958
   28  k_post_rope_last                           5.6101    0.9958
   35  k_post_rope_last                           5.5426    0.9983
   35  k_post_qknorm_last                         5.5377    0.9984
   22  v_last                                     5.5114    0.9787
   21  attn_out_post_oproj_last                   5.4736    0.9156
   12  attn_logits_last                           5.3620    0.9991
   16  attn_logits_last                           5.3505    0.9988
   20  k_post_rope_last                           5.3148    0.9960
   20  k_post_qknorm_last                         5.3141    0.9960
   20  mlp_out_last                               5.3016    0.9699
   30  k_post_rope_last                           5.3011    0.9968
   30  k_post_qknorm_last                         5.3004    0.9968
   23  k_pre_qknorm_last                          5.2974    0.9950
   24  v_last                                     5.2769    0.9771
   29  attn_out_post_oproj_last                   5.2478    0.9724
   31  k_post_qknorm_last                         5.2387    0.9961
   31  k_post_rope_last                           5.2381    0.9961
   31  attn_out_post_oproj_last                   5.2080    0.9755
   22  attn_out_pre_oproj_last                    5.1466    0.9706
   22  attn_out_post_oproj_last                   5.1369    0.9514
   19  attn_logits_last                           5.1281    0.9996
   31  attn_out_pre_oproj_last                    5.1197    0.9774
   26  attn_out_post_oproj_last                   5.0377    0.9629
   26  attn_out_pre_oproj_last                    5.0005    0.9588
   21  attn_out_pre_oproj_last                    4.9444    0.9521
   21  h_after_input_ln_last                      4.9237    0.9944
   32  attn_out_post_oproj_last                   4.8968    0.9918
   18  hidden_out_last                            4.8625    0.9960
   19  hidden_in_last                             4.8625    0.9960
   33  attn_out_pre_oproj_last                    4.8138    0.9908
   19  q_pre_qknorm_last                          4.8119    0.9988
   22  k_pre_qknorm_last                          4.7902    0.9957
   34  k_post_rope_last                           4.7495    0.9971
    8  attn_logits_last                           4.7492    0.9989
   34  k_post_qknorm_last                         4.7450    0.9971
   24  attn_out_pre_oproj_last                    4.7356    0.9817
   17  q_post_rope_last                           4.7131    0.9971
   17  q_post_qknorm_last                         4.7123    0.9971
   33  k_post_rope_last                           4.7045    0.9962
   33  k_post_qknorm_last                         4.7032    0.9962
   35  attn_logits_last                           4.6929    0.9990
    3  attn_logits_last                           4.6539    0.9998
   24  attn_out_post_oproj_last                   4.6188    0.9822
   14  q_post_qknorm_last                         4.5820    0.9984
   14  q_post_rope_last                           4.5797    0.9984
   16  q_post_rope_last                           4.4872    0.9976
   16  q_post_qknorm_last                         4.4862    0.9976
   15  q_post_rope_last                           4.4500    0.9976
   15  q_post_qknorm_last                         4.4485    0.9976
   29  attn_out_pre_oproj_last                    4.3627    0.9829
   32  k_post_rope_last                           4.3152    0.9972
   32  k_post_qknorm_last                         4.3118    0.9972
   13  q_post_rope_last                           4.2989    0.9979
   32  attn_out_pre_oproj_last                    4.2976    0.9906
   13  q_post_qknorm_last                         4.2964    0.9979
   19  k_post_qknorm_last                         4.2522    0.9978
   19  k_post_rope_last                           4.2513    0.9978
   20  h_after_post_attn_ln_last                  4.2312    0.9838
   18  attn_logits_last                           4.1359    0.9994
   18  q_post_qknorm_last                         4.1177    0.9978
   18  q_post_rope_last                           4.1161    0.9978
   11  q_post_rope_last                           4.0847    0.9992
   11  q_post_qknorm_last                         4.0833    0.9992
    2  attn_logits_last                           4.0767    0.9997
   12  q_post_rope_last                           4.0584    0.9990
   12  q_post_qknorm_last                         4.0574    0.9990
   21  k_pre_qknorm_last                          4.0239    0.9948
