# Sorted by L2 distance (descending).  '4+4' vs '4+9' at step02
# layer = -1 means a final / post-transformer tensor.
layer  tensor                                         L2       cos
   -1  logits_last                              230.4874    0.9980
   35  hidden_out_last                           67.7001    0.9852
   -1  h_final_prenorm_last                      67.7001    0.9852
   34  hidden_out_last                           66.7139    0.9934
   35  hidden_in_last                            66.7139    0.9934
   33  hidden_out_last                           61.2137    0.9916
   34  hidden_in_last                            61.2137    0.9916
   32  hidden_out_last                           55.8448    0.9897
   33  hidden_in_last                            55.8448    0.9897
   31  hidden_out_last                           50.7682    0.9877
   32  hidden_in_last                            50.7682    0.9877
   33  q_pre_qknorm_last                         48.0784    0.9968
   30  hidden_out_last                           46.9511    0.9871
   31  hidden_in_last                            46.9511    0.9871
   34  q_pre_qknorm_last                         45.1832    0.9966
   29  hidden_out_last                           42.5572    0.9845
   30  hidden_in_last                            42.5572    0.9845
   28  hidden_out_last                           39.8638    0.9825
   29  hidden_in_last                            39.8638    0.9825
   32  q_pre_qknorm_last                         38.8122    0.9967
   27  hidden_out_last                           36.2849    0.9813
   28  hidden_in_last                            36.2849    0.9813
   35  q_pre_qknorm_last                         36.1117    0.9965
   26  hidden_out_last                           33.4819    0.9804
   27  hidden_in_last                            33.4819    0.9804
   33  h_after_input_ln_last                     33.0121    0.9891
   31  q_pre_qknorm_last                         31.1763    0.9962
   25  hidden_out_last                           30.7808    0.9781
   26  hidden_in_last                            30.7808    0.9781
   30  q_pre_qknorm_last                         30.1236    0.9955
   34  h_after_input_ln_last                     29.8533    0.9910
   29  q_pre_qknorm_last                         29.1395    0.9943
   24  hidden_out_last                           28.8379    0.9761
   25  hidden_in_last                            28.8379    0.9761
   33  v_last                                    27.7947    0.9854
   32  h_after_input_ln_last                     25.7579    0.9893
   34  v_last                                    24.9988    0.9852
   -1  h_final_postnorm_last                     24.6634    0.9878
   33  k_pre_qknorm_last                         24.5452    0.9892
   34  mlp_out_last                              24.5060    0.9896
   23  hidden_out_last                           24.0849    0.9760
   24  hidden_in_last                            24.0849    0.9760
   35  h_after_input_ln_last                     23.6851    0.9904
   33  mlp_out_last                              23.3877    0.9886
   35  mlp_out_last                              23.3753    0.9988
   22  hidden_out_last                           21.6614    0.9699
   23  hidden_in_last                            21.6614    0.9699
